Episode,Reward,Loss,Epsilon
0,97,418.3439889,1
1,46,687.6604028,0.995
2,44,316.5950022,0.990025
3,27,440.6705146,0.985074875
4,5,260.7887149,0.980149501
5,15,1274.755777,0.975248753
6,-6,874.4318752,0.970372509
7,-32,983.6655493,0.965520647
8,34,723.0390034,0.960693044
9,4,714.4066687,0.955889578
10,65,1596.864697,0.95111013
11,27,1618.015656,0.94635458
12,47,1875.760904,0.941622807
13,22,1076.679546,0.936914693
14,9,2410.708302,0.932230119
15,34,3291.99192,0.927568969
16,34,4188.813068,0.922931124
17,35,3037.794659,0.918316468
18,59,2901.474712,0.913724886
19,93,5011.995691,0.909156262
20,25,4461.541151,0.90461048
21,21,1944.083012,0.900087428
22,3,1971.8218,0.895586991
23,42,7366.982487,0.891109056
24,12,3542.449287,0.886653511
25,-20,16173.57121,0.882220243
26,39,5144.177631,0.877809142
27,55,11666.78055,0.873420096
28,5,2679.245102,0.869052996
29,40,3677.11956,0.864707731
30,70,5083.902252,0.860384192
31,27,6167.14077,0.856082271
32,10,4508.000595,0.85180186
33,-10,2518.315544,0.84754285
34,28,5613.390945,0.843305136
35,9,10010.2353,0.83908861
36,-5,7318.245956,0.834893167
37,-5,6457.155182,0.830718701
38,36,6576.76931,0.826565108
39,115,12534.40607,0.822432282
40,11,5399.250359,0.818320121
41,72,9704.351517,0.81422852
42,14,3724.214798,0.810157378
43,-11,5752.291901,0.806106591
44,59,8838.915802,0.802076058
45,15,3218.950752,0.798065678
46,-4,6378.952255,0.794075349
47,25,6935.894707,0.790104973
48,17,6467.662392,0.786154448
49,30,5260.784309,0.782223675
50,21,9105.236923,0.778312557
51,-5,3641.996056,0.774420994
52,15,10778.48048,0.770548889
53,-3,5953.809128,0.766696145
54,37,7816.856689,0.762862664
55,-50,5247.66259,0.759048351
56,16,7646.604866,0.755253109
57,75,7862.837166,0.751476844
58,-6,4999.147438,0.747719459
59,-11,4585.816544,0.743980862
60,35,11669.85567,0.740260958
61,47,11891.88448,0.736559653
62,38,10924.27515,0.732876855
63,-9,7018.574997,0.72921247
64,57,17793.34285,0.725566408
65,51,15840.46082,0.721938576
66,-13,9249.115967,0.718328883
67,28,10541.33447,0.714737239
68,12,11254.40295,0.711163552
